Storage location;Material;Material Description;Batch;Unrestricted;Base Unit of Measure;Material type;Quality Inspection;Transit and Transfer;Restricted-Use Stock;Blocked;Descr. of Storage Loc.
3010;100-024;Braided Poly Suture;RN00061624;11393.04;M;ZROH;0;0;0;0.0;Line Thora
3010;100-032;Braided Poly Suture;RN00061434;5810.0;M;ZROH;0;0;0;0.0;Line Thora
3010;100-047;Green Poly.Braided;RN00062748;2566.0;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-22;22MM T/Wall Plain Weave;26407543;3.41;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-22;22MM T/Wall Plain Weave;26488665;11.0;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-22;22MM T/Wall Plain Weave;26407542;2.66;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-24;24MM T/Wall Plain Weave;26382963;6.22;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-24;24MM T/Wall Plain Weave;26488666;5.0;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-24;24MM T/Wall Plain Weave;26382962;2.45;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-26;26MM T/Wall Plain Weave;26262251;8.25;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-26;26MM T/Wall Plain Weave;26299184;8.1;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-28;28MM T/Wall Plain Weave;26244636;1.71;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-28;28MM T/Wall Plain Weave;26262252;7.82;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-28;28MM T/Wall Plain Weave;26221343;1.86;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-28;28MM T/Wall Plain Weave;26244636;2.24;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-30;30MM T/Wall Plain Weave;26356102;2.28;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26469673;1.68;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26474921;0.0;M;ZROH;0;0;0;2.4;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26488672;4.5;M;ZROH;0;0;0;0.0;Line Thora
5004;102-102-32;32MM T/Wall Plain Weave;26469673;0.0;M;ZROH;0;0;0;0.97;QA
5004;102-102-32;32MM T/Wall Plain Weave;26488672;0.0;M;ZROH;0;0;0;0.26;QA
3010;102-102-34;34MM T/Wall Plain Weave;26153932;0.56;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26199818;2.92;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26313377;0.84;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26333034;1.03;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26333035;0.84;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26362434;1.63;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26366384;0.7;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26391107;1.4;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-36;36MM T/Wall Plain Weave;26262255;3.2;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-36;36MM T/Wall Plain Weave;26506947;2.3;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26407546;0.76;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26407549;3.61;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26484614;1.67;M;ZROH;0;0;0;0.0;Line Thora
5004;102-102-38;38MM T/Wall Plain Weave;26407549;0.0;M;ZROH;0;0;0;0.12;QA
9999;102-102-38;38MM T/Wall Plain Weave;25686793;1.08;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25686794;1.56;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25686795;2.76;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25696362;2.26;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25705013;0.99;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25710805;3.07;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25710806;3.65;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407546;0.06;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407547;1.54;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407549;1.36;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;208-003/1;Nitinol str Set Wire;RN00061612;411.28;M;ZROH;0;0;0;0.0;Line Thora
3010;208-004/1;Nitinol str Set Wire;RN00063528;2717.88;M;ZROH;0;0;0;0.0;Line Thora
3010;208-006/1;Nitinol str Set Wire;RN00063035;1565.85;M;ZROH;0;0;0;0.0;Line Thora
3010;208-007/1;Nitinol str Set Wire;RN00062898;498.87;M;ZROH;0;0;0;0.0;Line Thora
3010;208-007/1;Nitinol str Set Wire;RN00063027;2341.25;M;ZROH;0;0;0;283.57;Line Thora
3010;208-008/1;Nitinol str Set Wire;RN00060705;106.71;M;ZROH;0;0;0;0.0;Line Thora
3010;208-008/1;Nitinol str Set Wire;RN00061238;997.74;M;ZROH;0;0;0;0.0;Line Thora
3010;208-013;Wire Tantalum Crimp;RN00061698;864.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-013;Wire Tantalum Crimp;RN00061700;29000.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00061411;1500.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00061414;470.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00062352;1000.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00063337;1916.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-019/1;Nitinol straight Set;RN00061646;1194.66;M;ZROH;0;0;0;0.0;Line Thora
3010;208-020/1;Nitinol str Set Wire;RN00061274;1500.24;M;ZROH;0;0;0;0.0;Line Thora
3010;208-028;Tantalum Marker Bands;RN00063275;4790.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-028;Tantalum Marker Bands;RN00063280;2545.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-050;Wire Tantalum Crimp;RN00060155;851.0;EA;ZROH;0;0;0;0.0;Line Thora
3009;28-22-0247-00;Middle Spring 22MM;2310160103;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-00;Middle Spring 22MM;2503060063;1.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-01;Middle Spring 24MM;2602240265;39.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-01;Middle Spring 24MM;2603050272;37.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2602230051;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020174;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020175;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020186;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020193;31.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240026;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240027;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240028;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140524;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140525;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140557;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601200100;41.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601270427;9.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2602190171;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2603020334;41.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2602190136;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2602190143;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020330;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020332;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020333;48.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603110071;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603110091;15.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2601220125;0.0;EA;ZROH;0;0;0;1.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2602190157;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2602190162;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2602190170;48.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2603050112;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2603050113;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2603050118;32.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-02;Middle Spring 36MM;2602110467;26.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-02;Middle Spring 36MM;2602110469;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-03;Middle Spring 38MM;2411060052;11.0;EA;ZROH;0;0;0;0.0;Line Relay
9999;28-22-0248-03;Middle Spring 38MM;2411060052;10.0;EA;ZROH;0;0;0;0.0;ThoraFabricRolls
3009;28-22-0249-00;Middle Spring 40MM;2602110167;33.0;EA;ZROH;0;0;0;2.0;Line Relay
3009;28-22-0249-00;Middle Spring 40MM;2603020354;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-00;Middle Spring 40MM;2603020355;46.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-01;Middle Spring 42MM;2602110470;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-01;Middle Spring 42MM;2602110471;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-02;Middle Spring 44MM;2509160287;3.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-03;Middle Spring 46MM;2506090421;12.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0249-03;Middle Spring 46MM;2603020029;26.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-00;Proximal Spring 22MM;2310060482;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-01;Proximal Spring 24MM;2311070048;6.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-01;Proximal Spring 24MM;2311070049;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-01;Proximal Spring 24MM;2311080534;30.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311070554;6.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311080072;30.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311080073;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311080074;30.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311080445;35.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-02;Proximal Spring 26MM;2311080446;35.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-03;Proximal Spring 28MM;2311110216;1.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-03;Proximal Spring 28MM;2501160054;27.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-03;Proximal Spring 28MM;2501280027;3.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0250-04;Proximal Spring 30MM;2602250226;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0251-00;Proximal Spring 32MM;2410170032;12.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0251-01;Proximal Spring 34MM;2506180461;8.0;EA;ZROH;0;0;0;1.0;Line Relay
3009;28-22-0251-01;Proximal Spring 34MM;2601150212;20.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0251-02;Proximal Spring 36MM;2602100324;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0251-02;Proximal Spring 36MM;2602100325;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0251-03;Proximal Spring 38MM;2603090043;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-00;Proximal Spring 40MM;2501070033;18.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-00;Proximal Spring 40MM;2501090370;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-01;Proximal Spring 42MM;2404090356;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-02;Proximal Spring 44MM;2404050152;25.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-02;Proximal Spring 44MM;2404050154;18.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-03;Proximal Spring 46MM;2602260215;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0252-03;Proximal Spring 46MM;2603100165;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-00;Bare Spring 22MM;2310110047;19.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-01;Bare Spring 24MM;2310120453;12.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-02;Bare Spring 26MM;2311070573;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-02;Bare Spring 26MM;2311070574;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-03;Bare Spring 28MM;2310180437;14.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-03;Bare Spring 28MM;2310180438;2.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0253-04;Bare Spring 30MM;2401100222;16.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-00;Bare Spring 32MM;2410160440;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-01;Bare Spring 34MM;2506190355;9.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-01;Bare Spring 34MM;2507090072;2.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-02;Bare Spring 36MM;2602100314;47.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-02;Bare Spring 36MM;2603100154;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-03;Bare Spring 38MM;2502260036;27.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0254-03;Bare Spring 38MM;2503140097;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0255-00;Bare Spring 40MM;2402270032;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0255-00;Bare Spring 40MM;2503040099;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0255-01;Bare Spring 42MM;2603100128;3.0;EA;ZROH;0;0;0;1.0;Line Relay
3009;28-22-0255-02;Bare Spring 44MM;2310180353;3.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0256-00;Distal Spring 22MM;2503180128;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0256-01;Distal Spring 24MM;2603050266;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0256-01;Distal Spring 24MM;2603090174;26.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0256-02;Distal Spring 26MM;2602180002;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0256-02;Distal Spring 26MM;2603020026;2.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0257-00;Distal Spring 28MM;2603100157;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0257-01;Distal Spring 30MM;2510290028;13.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0257-01;Distal Spring 30MM;2510290029;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0257-01;Distal Spring 30MM;2601210070;14.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-00;Distal Spring 32MM;2602180257;1.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-00;Distal Spring 32MM;2602180258;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-00;Distal Spring 32MM;2602190229;25.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-00;Distal Spring 32MM;2603020378;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-01;Distal Spring 34MM;2601210049;25.0;EA;ZROH;0;0;0;1.0;Line Relay
3009;28-22-0258-02;Distal Spring 36MM;2502180018;16.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-02;Distal Spring 36MM;2502250434;28.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-02;Distal Spring 36MM;2503040017;40.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-03;Distal Spring 38MM;2509160402;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-03;Distal Spring 38MM;2601210200;9.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0258-03;Distal Spring 38MM;2602190276;30.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-00;S-Bar 22mm x 53mm (55deg);2509090164;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-01;S-Bar 24mm x 53mm (55deg);2504030028;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-02;S-Bar 26mm x 58mm (55deg);2506230330;14.0;EA;ZROH;0;0;0;1.0;Line Relay
3009;28-22-0259-03;S-Bar 28mm x 58mm (55deg);2408050334;11.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-03;S-Bar 28mm x 58mm (55deg);2409170284;20.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-04;S-Bar 30mm x 57mm (55deg);2404120212;0.0;EA;ZROH;0;0;0;2.0;Line Relay
3009;28-22-0259-04;S-Bar 30mm x 57mm (55deg);2404120213;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-04;S-Bar 30mm x 57mm (55deg);2404180227;11.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-04;S-Bar 30mm x 57mm (55deg);2404180231;9.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-05;S-Bar 32mm x 58mm (55deg);2411040047;3.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-06;S-Bar 34mm x 63mm (55deg);2504230453;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-06;S-Bar 34mm x 63mm (55deg);2509080047;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-07;S-Bar 36mm x 62mm (55deg);2501100090;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-08;S-Bar 38mm x 62mm (55deg);2409190224;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-08;S-Bar 38mm x 62mm (55deg);2409250286;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-08;S-Bar 38mm x 62mm (55deg);2409250294;14.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-09;S-Bar 40mm x 67mm (55deg);2404120215;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-10;S-Bar 42mm x 67mm (55deg);2405210298;6.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-11;S-Bar 44mm x 67mm (55deg);1908010042;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-11;S-Bar 44mm x 67mm (55deg);1911260062;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-11;S-Bar 44mm x 67mm (55deg);2409190252;14.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0259-12;S-Bar 46mm x 67mm (55deg);2501090160;6.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0263-00;Distal Spring 40MM;2502040607;15.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0263-01;Distal Spring 42MM;2510300088;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0263-01;Distal Spring 42MM;2601210203;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0263-02;Distal Spring 44MM;2509090200;10.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0263-03;Distal Spring 46MM;2602260126;13.0;EA;ZROH;0;0;0;0.0;Line Relay
3008;28-22-0315;5-0 Polyester Suture;T00068418;1554.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0315;5-0 Polyester Suture;T00068494;2500.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0315;5-0 Polyester Suture;T00068945;2500.0;EA;ZROH;0;0;0;0.0;Line Treo
3009;28-22-0315;5-0 Polyester Suture;T00098267;1666.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0315;5-0 Polyester Suture;T00098276;2500.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0315;5-0 Polyester Suture;T00098277;2500.0;EA;ZROH;0;0;0;0.0;Line Relay
1001;28-22-0557;Cylindrical Marker Bands;T00671471;0.0;EA;ZROH;100;0;0;0.0;RM
1001;28-22-0557;Cylindrical Marker Bands;T00689038;0.0;EA;ZROH;1000;0;0;0.0;RM
3008;28-22-0557;Cylindrical Marker Bands;T00644846;95.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00645723;800.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00645724;1200.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00646574;900.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00648226;1200.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00672110;2500.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00678928;300.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00683059;100.0;EA;ZROH;0;0;0;0.0;Line Treo
3008;28-22-0557;Cylindrical Marker Bands;T00687962;2400.0;EA;ZROH;0;0;0;0.0;Line Treo
3009;28-22-0557;Cylindrical Marker Bands;T00689165;725.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0557;Cylindrical Marker Bands;T00689242;100.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0557;Cylindrical Marker Bands;T00694425;100.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0557;Cylindrical Marker Bands;T00697658;100.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0557;Cylindrical Marker Bands;T00701666;100.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-01;NBS Proximal Spring 22MM;2509020081;16.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-02;NBS Proximal Spring 24MM;2510140189;19.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-03;NBS Proximal Spring 26MM;2509080168;28.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-04;NBS Proximal Spring 28MM;2602260081;18.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-05;NBS Proximal Spring 30MM;2602110528;13.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-05;NBS Proximal Spring 30MM;2602110543;20.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-05;NBS Proximal Spring 30MM;2602260099;52.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-06;NBS Proximal Spring 32MM;2511070110;12.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-06;NBS Proximal Spring 32MM;2601150335;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-07;NBS Proximal Spring 34MM;2511030309;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-07;NBS Proximal Spring 34MM;2601210057;44.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-08;NBS Proximal Spring 36MM;2602240029;13.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-08;NBS Proximal Spring 36MM;2602240251;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-08;NBS Proximal Spring 36MM;2602240252;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-08;NBS Proximal Spring 36MM;2603100325;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-09;NBS Proximal Spring 38MM;2602260231;8.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-09;NBS Proximal Spring 38MM;2602260232;25.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-10;NBS Proximal Spring 40MM;2502240486;22.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-10;NBS Proximal Spring 40MM;2502240487;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-10;NBS Proximal Spring 40MM;2502240488;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0575-10;NBS Proximal Spring 40MM;2502240490;41.0;EA;ZROH;0;0;0;0.0;Line Relay
